subject	label	region	voxel_count	volume_mm3	is_reference_label	raw_pet_mean	raw_suvr_mean	gm50_voxel_count	pvc_psf4_mean	suvr_psf4_mean	pvc_psf5_mean	suvr_psf5_mean	pvc_psf6_mean	suvr_psf6_mean	pvc_psf8_mean	suvr_psf8_mean	primary_gray_roi	flag_low_gm_support	flag_negative_nominal_mean	flag_nonfinite_nominal_mean
sub-01	2009	ctx-rh-inferiortemporal	405	8890.559545784003	0	20774.775390625	1.137950778007507	341	24825.439453125	1.2810708284378052	25690.767578125	1.3067851066589355	26632.314453125	1.3331538438796997	28684.0	1.385191559791565	1	0	0	0
sub-01	2010	ctx-rh-isthmuscingulate	99	2173.2478889694225	0	21532.87109375	1.179476022720337	79	25316.97265625	1.3064355850219729	25871.109375	1.3159583806991575	26388.1796875	1.3209327459335327	27333.26171875	1.3199622631072998	1	0	0	0
sub-01	2011	ctx-rh-lateraloccipital	395	8671.039556999212	0	20925.40234375	1.146201729774475	321	28057.265625	1.4478434324264526	29411.04296875	1.4960203170776367	30714.685546875	1.5375081300735474	33216.69921875	1.6040822267532349	1	0	0	0
sub-01	2012	ctx-rh-lateralorbitofrontal	276	6058.751690460209	0	22293.728515625	1.2211525440216064	235	27147.037109375	1.4008725881576538	28128.650390625	1.4307903051376345	29159.990234375	1.459683537483215	31325.306640625	1.5127440690994265	1	0	0	0
sub-01	2013	ctx-rh-lingual	196	4302.591780181888	0	20733.06640625	1.1356662511825562	160	23653.89453125	1.2206153869628906	23986.16015625	1.220078706741333	24260.42578125	1.214422345161438	24680.126953125	1.1918387413024902	1	0	0	0
sub-01	2014	ctx-rh-medialorbitofrontal	186	4083.071791397097	0	21794.814453125	1.193824052810669	151	25699.099609375	1.326154351234436	26298.95703125	1.3377212285995483	26850.470703125	1.3440741300582886	27895.357421875	1.34710693359375	1	0	0	0
sub-01	2015	ctx-rh-middletemporal	440	9658.879506530768	0	21034.375	1.1521705389022827	350	25610.328125	1.3215736150741575	26578.40234375	1.351935625076294	27597.462890625	1.3814669847488403	29724.189453125	1.4354236125946045	1	0	0	0
sub-01	2016	ctx-rh-parahippocampal	64	1404.927928222657	0	15730.9423828125	0.8616719245910645	50	16361.583984375	0.8443092107772827	16440.09375	0.836240828037262	16535.8359375	0.8277467489242554	16771.13671875	0.8099021911621094	1	0	0	0
sub-01	2017	ctx-rh-paracentral	130	2853.7598542022724	0	18886.873046875	1.0345399379730225	82	22675.412109375	1.1701226234436035	23085.333984375	1.1742572784423828	23446.783203125	1.1736931800842283	24111.572265625	1.1643823385238647	1	0	0	0
sub-01	2018	ctx-rh-parsopercularis	168	3687.935811584475	0	23955.322265625	1.3121671676635742	140	28269.4609375	1.4587931632995603	29057.46875	1.4780354499816897	29855.55078125	1.4945018291473389	31411.193359375	1.5168917179107666	1	0	0	0
sub-01	2019	ctx-rh-parsorbitalis	122	2678.14386317444	0	22957.310546875	1.2575005292892456	91	28591.724609375	1.475422739982605	30025.642578125	1.5272828340530396	31573.349609375	1.5804909467697144	34909.50390625	1.6858302354812622	1	0	0	0
sub-01	2020	ctx-rh-parstriangularis	165	3622.079814949038	0	22835.228515625	1.2508134841918943	124	28702.251953125	1.4811265468597412	29765.216796875	1.514035701751709	30879.671875	1.5457671880722046	33226.5	1.6045554876327517	1	0	0	0
sub-01	2021	ctx-rh-pericalcarine	51	1119.55194280243	0	23583.81640625	1.2918176651000977	37	28492.97265625	1.4703271389007568	29127.986328125	1.4816224575042725	29774.90625	1.4904648065567017	31065.05078125	1.5001758337020874	1	0	0	0
sub-01	2022	ctx-rh-postcentral	285	6256.31968036652	0	18398.736328125	1.0078017711639404	179	23373.955078125	1.206169605255127	24223.642578125	1.2321584224700928	25064.140625	1.2546544075012207	26755.310546875	1.2920522689819336	1	0	0	0
sub-01	2023	ctx-rh-posteriorcingulate	129	2831.8078553237933	0	18694.69921875	1.0240134000778198	96	22312.349609375	1.1513875722885132	22718.078125	1.155576229095459	23126.962890625	1.1576838493347168	23936.234375	1.1559150218963623	1	0	0	0
sub-01	2024	ctx-rh-precentral	448	9834.4954975586	0	19269.951171875	1.055523157119751	305	24312.591796875	1.2546062469482422	25117.7578125	1.2776384353637695	25950.376953125	1.2990174293518066	27685.744140625	1.336984395980835	1	0	0	0
sub-01	2025	ctx-rh-precuneus	399	8758.847552513127	0	22286.21484375	1.2207409143447876	313	26305.041015625	1.357422947883606	26790.638671875	1.3627310991287231	27225.36328125	1.3628405332565308	28000.85546875	1.3522014617919922	1	0	0	0
sub-01	2026	ctx-rh-rostralanteriorcingulate	81	1778.1119091568005	0	19200.19140625	1.0517020225524902	71	21103.892578125	1.089026927947998	21287.193359375	1.0827932357788086	21475.046875	1.0749924182891846	21895.921875	1.0573855638504028	1	0	0	0
sub-01	2027	ctx-rh-rostralmiddlefrontal	693	15212.73522278596	0	24281.263671875	1.330020785331726	473	32364.9375	1.670132756233215	33664.47265625	1.7123750448226929	35033.17578125	1.7536821365356443	37925.25	1.8314646482467647	1	0	0	0
sub-01	2028	ctx-rh-superiorfrontal	901	19778.750989509597	0	21478.97265625	1.1765236854553225	601	27389.07421875	1.4133626222610474	28259.857421875	1.4374642372131348	29131.873046875	1.4582761526107788	30912.822265625	1.4928244352340698	1	0	0	0
sub-01	2029	ctx-rh-superiorparietal	499	10954.04744036103	0	18834.91796875	1.0316940546035769	310	23801.533203125	1.228234052658081	24647.92578125	1.2537400722503662	25523.9453125	1.2776713371276855	27357.810546875	1.3211480379104614	1	0	0	0
sub-01	2030	ctx-rh-superiortemporal	438	9614.97550877381	0	18882.775390625	1.0343154668807983	319	22596.47265625	1.166049242019653	23243.7734375	1.182316541671753	23866.57421875	1.194706916809082	25058.2421875	1.2100985050201416	1	0	0	0
sub-01	2031	ctx-rh-supramarginal	354	7771.007602981572	0	20234.375	1.108350157737732	236	25115.08984375	1.2960176467895508	26022.216796875	1.3236446380615234	26953.08984375	1.3492110967636108	28876.234375	1.3944748640060425	1	0	0	0
sub-01	2032	ctx-rh-frontalpole	41	900.0319540176397	0	22962.302734375	1.257773995399475	24	34027.83984375	1.7559436559677124	35995.05078125	1.830922245979309	38133.16796875	1.908860683441162	42739.6640625	2.0639593601226807	1	0	0	0
sub-01	2033	ctx-rh-temporalpole	69	1514.6879226150522	0	13261.5087890625	0.7264072299003601	42	14893.78125	0.7685660123825073	15268.6337890625	0.7766534686088562	15746.1787109375	0.7882183790206909	16969.12109375	0.8194631934165955	1	0	0	0
sub-01	2034	ctx-rh-transversetemporal	33	724.4159629898076	0	22073.830078125	1.2091073989868164	25	26342.953125	1.3593792915344238	26758.744140625	1.361108660697937	27093.341796875	1.3562320470809937	27663.51171875	1.3359107971191406	1	0	0	0
